POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,BAYERN MÜNCHEN,70.76,17.85,6.29,2.88,1.16,0.49,0.28,0.14,0.04,0.03,0.05,0.02,0.01,0,0,0,0,0
2,BORUSSIA DORTMUND,13.56,30.55,20.42,12.92,7.98,5.02,3.46,2.27,1.26,0.95,0.58,0.55,0.2,0.19,0.06,0.03,0,0
3,KÖLN,0.1,0.51,1.29,2.43,3.65,4.76,6.2,6.77,7.96,8.53,8.7,9.08,8.58,8.52,7.85,6.89,5,3.18
4,ST. PAULI,0.07,0.42,1.35,2.6,3.62,4.84,6.36,6.74,7.76,8.46,8.46,8.35,8.75,8.15,8.03,7.34,5.65,3.05
5,EINTRACHT FRANKFURT,5.4,15.54,18.34,16.52,12.49,9.55,6.54,4.43,3.12,2.78,1.92,1.15,0.9,0.61,0.3,0.27,0.1,0.04
6,HOFFENHEIM,0.11,0.94,2.6,4.13,5.78,7.49,7.81,8.42,8.69,8.34,8.3,8.37,7.18,6.54,5.62,4.39,3.46,1.83
7,RB LEIPZIG,2.14,7.74,12.48,13.67,13.78,11.03,8.7,7.4,6.13,4.61,3.61,2.78,1.98,1.76,1.06,0.68,0.31,0.14
8,WOLFSBURG,0.18,0.99,2.38,4.08,5.86,7.33,7.87,8.37,8.37,8.51,7.95,7.76,7.48,6.58,6.24,4.57,3.56,1.92
9,WERDER BREMEN,0.32,2.38,4.73,6.92,8.48,9.74,9.24,9.17,8.52,7.94,7.41,5.84,5.51,4.52,3.7,2.92,1.69,0.97
10,BAYER LEVERKUSEN,6.55,18.23,20.18,16.26,12.04,8.16,5.53,4.09,2.76,2.05,1.4,1.07,0.56,0.56,0.27,0.18,0.08,0.03
11,AUGSBURG,0.11,0.46,1.15,2.5,3.62,4.83,6.08,7.28,6.9,7.63,7.95,8.77,8.93,8.27,8.22,7.18,5.8,4.32
12,STUTTGART,0.42,2.57,4.39,6.91,8.68,9.51,9.39,9.67,8.78,7.65,6.68,6,5.31,5.01,3.48,2.79,1.82,0.94
13,FREIBURG,0.17,0.76,1.71,3.26,4.51,5.58,6.85,7.52,7.89,8.46,8.86,8.11,7.82,7.8,7.25,5.96,4.63,2.86
14,UNION BERLIN,0.03,0.27,0.65,1.06,1.88,2.77,3.97,4.31,5.75,6.35,7.76,8.29,8.98,9.84,10.54,10.54,9.47,7.54
15,MAINZ 05,0.06,0.68,1.72,2.89,4.77,5.86,7.22,7.02,7.9,8.47,8.28,8.26,7.97,7.58,6.96,5.91,5.34,3.11
16,BORUSSIA M'GLADBACH,0.02,0.08,0.19,0.62,1.16,1.9,2.69,3.48,4.46,4.8,6.04,6.7,8.54,9.69,11.31,13.09,12.91,12.32
17,HAMBURGER SV,0,0.03,0.07,0.25,0.32,0.72,1,1.73,2.11,2.65,3.46,5.04,6.11,8,10.28,13.82,19.57,24.84
18,HEIDENHEIM,0,0,0.06,0.1,0.22,0.42,0.81,1.19,1.6,1.79,2.59,3.86,5.19,6.38,8.83,13.44,20.61,32.91
