POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,PSG,87.93,8.91,2.13,0.62,0.28,0.08,0.01,0.03,0,0.01,0,0,0,0,0,0,0,0
2,LILLE,5.65,31.66,20.79,14.34,9.73,6.24,4.65,2.66,1.89,1,0.65,0.39,0.2,0.1,0.02,0.02,0.01,0
3,MONACO,2.53,18.2,19.43,15.86,12.6,9.25,6.91,5.38,3.58,2.45,1.54,1.03,0.63,0.33,0.13,0.13,0,0.02
4,OLYMPIQUE LYONNAIS,2.05,16.62,17.2,16.58,13.05,10.38,7.77,5.61,4.11,2.37,1.63,1.18,0.78,0.29,0.25,0.07,0.05,0.01
5,STRASBOURG,0.65,6.14,8.77,10.55,12.25,11.96,11.19,9.34,7.85,6.81,5.51,3.36,2.15,1.77,0.81,0.55,0.26,0.08
6,RENNES,0.05,1.88,4.34,5.25,8.03,9.76,10.15,10.22,10.76,9.6,8.24,6.06,5.46,4.15,2.97,1.57,1.09,0.42
7,OLYMPIQUE MARSEILLE,0.74,8.29,11.69,13.09,12.49,11.87,10.36,8.8,6.66,5.18,3.93,2.46,1.81,1.29,0.74,0.36,0.2,0.04
8,LENS,0.23,3.92,6.54,8.56,10.05,11.11,11.63,10.93,9.28,7.83,6.12,4.42,3.24,2.5,1.82,1.04,0.52,0.26
9,NICE,0.07,1.83,3.36,4.87,6.56,8.32,9.21,10.59,10.54,10.26,8.74,8.33,5.52,4.37,3.3,2.06,1.42,0.65
10,TOULOUSE,0.09,2,4.17,6.07,7.65,9.34,11.01,10.65,10.03,8.93,7.99,6.18,5.66,3.9,2.82,1.95,1.01,0.55
11,PARIS FC,0,0.04,0.19,0.62,0.93,1.66,2.51,3.91,4.92,6.51,8.31,9.73,10.52,10.92,11.34,10.77,10.17,6.95
12,ANGERS SCO,0,0.1,0.3,0.54,1.23,1.52,2.83,3.32,5.16,6.89,7.63,9.5,10.15,10.54,11.69,10.64,10.25,7.71
13,LE HAVRE,0,0,0.06,0.3,0.41,0.61,1.29,1.98,2.88,4.19,5.25,7.05,9.22,10.44,12.27,14.43,15.14,14.48
14,NANTES,0.01,0.07,0.22,0.4,1.01,1.72,2.27,3.65,5.39,6.32,7.9,9.58,10.4,10.76,10.93,11.27,9.89,8.21
15,AUXERRE,0,0.12,0.28,0.89,1.35,1.9,2.77,4.64,5.48,7.23,8.86,9.36,10.44,11,10.86,9.66,8.72,6.44
16,LORIENT,0,0.03,0.06,0.2,0.47,0.86,1.17,1.95,2.99,3.85,5.37,7.65,8.68,10.38,11.64,13.54,15.62,15.54
17,BREST,0,0.19,0.45,1.25,1.8,3.18,3.96,5.72,7.2,8.73,9.77,10.06,10.04,9.69,8.59,8.27,6.52,4.58
18,METZ,0,0,0.02,0.01,0.11,0.24,0.31,0.62,1.28,1.84,2.56,3.66,5.1,7.57,9.82,13.67,19.13,34.06
