POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,REAL MADRID,42.54,39.41,10.94,3.76,1.6,0.84,0.42,0.27,0.14,0.04,0.03,0.01,0,0,0,0,0,0,0,0
2,BARCELONA,51.18,35.13,8.79,2.94,0.99,0.52,0.26,0.1,0.03,0.03,0.02,0.01,0,0,0,0,0,0,0,0
3,ESPANYOL,0.15,0.64,3.34,5.47,7.28,8.19,8.3,8.93,7.9,7.84,7.18,6.69,6.24,5.33,4.73,3.95,2.87,2.33,1.75,0.89
4,GETAFE,0.07,0.47,2.53,4.18,5.26,6.27,7.24,8,7.79,8.22,7.8,6.9,7.11,5.98,5.62,4.95,4.35,3.6,2.23,1.43
5,ATHLETIC CLUB,1.38,5.42,17.08,16.57,14.28,10.83,8.33,6.58,4.87,4.04,2.95,2.15,1.68,1.19,0.98,0.57,0.55,0.33,0.16,0.06
6,VILLARREAL,1.35,5.82,16.21,17.29,13.84,10.7,8.17,6.46,5.23,4.07,2.99,2.52,1.65,1.31,0.97,0.64,0.41,0.23,0.12,0.02
7,ALAVÉS,0.06,0.36,2.19,3.49,5.4,6.89,7.26,7.6,8.11,8.08,7.39,7.11,6.86,6.2,6.07,4.78,4.22,3.55,2.81,1.57
8,ELCHE,0.01,0.13,0.56,1.57,2.4,3.39,4.09,4.7,5.51,6.59,6.59,7.38,7.51,8.29,7.59,7.82,7.75,6.69,6.36,5.07
9,OSASUNA,0.28,0.91,4.63,7.3,8.56,9.02,9.02,8.6,7.61,7.37,6.6,6.15,5.32,4.76,3.81,3.25,2.63,1.87,1.43,0.88
10,REAL BETIS,0.11,0.89,4.05,5.62,8.22,8.95,9.2,8.73,8.77,7.26,6.54,6.31,5.71,4.87,4.06,3.62,2.94,1.93,1.53,0.69
11,ATLÉTICO DE MADRID,2.74,9.78,23.9,19.72,12.97,9.13,6.34,4.44,3.2,2.27,1.77,1.05,0.87,0.63,0.55,0.3,0.13,0.1,0.07,0.04
12,SEVILLA,0.01,0.05,0.32,0.89,1.83,2.18,3.24,3.66,4.52,5.29,5.87,6.81,7.62,7.65,8.38,8.97,8.45,9.01,8.27,6.98
13,RAYO VALLECANO,0.04,0.47,1.79,3.36,4.83,6.25,6.54,7.22,7.7,7.31,7.31,6.98,7.27,6.22,6.3,5.3,5.39,4.52,3.03,2.17
14,CELTA DE VIGO,0.01,0.1,0.64,1.63,2.47,3.21,4.39,4.46,5.4,5.75,7.21,7.75,7.32,8.06,7.77,7.92,7.31,7.17,6.6,4.83
15,VALENCIA,0.06,0.18,1.72,3.11,4.45,5.63,6.57,6.54,7.11,7.76,7.84,7.05,6.79,6.76,5.86,5.91,5.36,4.8,3.61,2.89
16,REAL OVIEDO,0,0,0.15,0.38,1.01,1.32,1.68,2.39,2.96,3.39,4.19,5.22,5.42,6.99,7.57,8.75,10.03,11.75,12.92,13.88
17,REAL SOCIEDAD,0.01,0.17,0.73,1.77,2.64,3.57,4.48,5.54,5.46,5.63,6.96,7.2,7.18,7.5,7.73,7.86,7.4,6.64,6.46,5.07
18,LEVANTE,0,0,0.06,0.18,0.4,0.76,0.95,1.47,1.94,2.36,2.88,3.59,4.46,5.73,7.22,8.47,10.08,12.82,15.57,21.06
19,MALLORCA,0,0.05,0.32,0.48,1.21,1.49,2.36,3,3.8,4.16,4.76,5.24,6.26,6.96,7.72,8.72,9.72,11.11,10.84,11.8
20,GIRONA,0,0.02,0.05,0.29,0.36,0.86,1.16,1.31,1.95,2.54,3.12,3.88,4.73,5.57,7.07,8.22,10.41,11.55,16.24,20.67
