POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,NAPOLI,21.16,17.2,14.68,11.42,9.61,7.26,5.96,4.4,3.01,2.03,1.1,0.88,0.52,0.37,0.19,0.11,0.02,0.05,0.02,0.01
2,JUVENTUS,13.13,13.54,13.02,12.39,10.85,9.79,6.98,6.29,4.81,3.24,2.21,1.3,0.97,0.64,0.34,0.23,0.13,0.11,0.02,0.01
3,CREMONESE,0.09,0.26,0.45,0.83,1.21,1.61,2.78,3.62,5.27,6.25,7.86,8.15,8.99,9.17,9.05,8.51,8.26,7.23,6.16,4.25
4,ROMA,17.33,15.75,14.37,12.36,9.85,8.44,6.42,5.05,3.62,2.35,1.71,1.04,0.74,0.45,0.33,0.1,0.07,0,0.01,0.01
5,UDINESE,0.13,0.31,0.72,1.24,1.86,2.84,3.61,4.83,6.19,7.15,8.47,8.85,8.99,8.78,8.11,7.61,6.63,5.61,4.71,3.36
6,INTERNAZIONALE,25.63,20.11,14.08,11.86,8.7,6.09,4.66,3.24,2.27,1.36,0.82,0.52,0.32,0.19,0.08,0.03,0.01,0.03,0,0
7,LAZIO,3.18,5.12,7.03,8.01,9.27,9.56,9.54,9.52,8.45,7.53,6.01,4.78,3.63,2.8,1.9,1.42,1.02,0.67,0.35,0.21
8,MILAN,5.24,7.01,8.76,9.97,10.55,10.31,10.02,8.6,7.68,6.05,4.47,3.51,2.66,2.03,1.09,0.82,0.68,0.31,0.17,0.07
9,COMO,0.45,0.86,1.79,2.36,3.82,5.08,6.52,7.52,8.54,9.79,9.3,8.63,7.69,6.86,5.75,4.74,3.8,2.98,2.16,1.36
10,BOLOGNA,3.63,5.73,7.36,8.13,9.75,9.84,9.97,9.54,8.16,6.9,5.57,4.4,3.64,2.36,1.76,1.14,0.91,0.72,0.31,0.18
11,ATALANTA,7.52,9.6,10.49,11.53,10.98,10.52,9.4,7.74,6.35,4.84,3.56,2.34,1.85,1.16,0.82,0.57,0.31,0.32,0.07,0.03
12,FIORENTINA,2.03,3.64,5.29,6.31,8.04,9.33,9.88,9.58,8.88,8.3,7.47,5.7,4.51,3.55,2.5,1.84,1.47,1.01,0.47,0.2
13,PISA,0.01,0.01,0.12,0.23,0.24,0.57,0.82,1.53,2.32,3.51,3.99,4.78,6.12,7.34,8.62,10.35,10.44,12.12,12.54,14.34
14,CAGLIARI,0.03,0.05,0.16,0.31,0.37,0.96,1.19,2.16,2.96,3.66,4.74,5.91,7.19,7.62,9,9.57,10.14,10.65,11.69,11.64
15,GENOA,0.07,0.19,0.44,0.73,1.13,1.74,2.89,3.72,5.06,5.88,7.33,8.39,8.15,8.84,8.48,8.9,8.5,7.53,6.87,5.16
16,PARMA,0.05,0.13,0.24,0.36,0.73,1.31,1.93,2.69,3.69,4.94,5.81,7.73,7.32,8.75,9.3,9.62,9.5,9.83,8.48,7.59
17,LECCE,0.01,0,0.1,0.1,0.24,0.66,1.02,1.42,1.89,3.03,4.02,4.81,6.28,7.3,8.61,9.51,10.51,11.4,13.77,15.32
18,HELLAS VERONA,0.02,0.03,0.05,0.22,0.34,0.74,1,1.56,2.26,3.22,3.64,5.37,6.69,7.78,8.5,9.04,10.85,12.09,12.63,13.97
19,TORINO,0.28,0.44,0.8,1.52,2.26,3.11,4.91,5.76,7.22,7.72,8.6,8.73,8.64,8.04,7.92,6.65,5.68,4.79,4.26,2.67
20,SASSUOLO,0.01,0.02,0.05,0.12,0.2,0.24,0.5,1.23,1.37,2.25,3.32,4.18,5.1,5.97,7.65,9.24,11.07,12.55,15.31,19.62
