Ligue,Timezone, Kickoff, Home_team, Away_team, Home_score, Away_score, Result_type
MLS,Asia/Seoul, Sep 21 @ AM 11:30, GALAXY, CINCINNATI,2,3, FT
MLS,Asia/Seoul, Sep 21 @ AM 11:30, EARTHQUAKES, ST. LOUIS,1,3, FT
SEA,Asia/Seoul, Sep 21 @ PM 07:30, LAZIO, ROMA,0,1, FT
WSL,Asia/Seoul, Sep 21 @ PM 08:00, BRIGHTON, WEST HAM,4,1, FT
WSL,Asia/Seoul, Sep 21 @ PM 08:00, CHELSEA, LEICESTER,1,0, FT
LL,Asia/Seoul, Sep 21 @ PM 09:00, RAYO, CELTA,1,1, FT
SEA,Asia/Seoul, Sep 21 @ PM 10:00, CREMONESE, PARMA,0,0, FT
SEA,Asia/Seoul, Sep 21 @ PM 10:00, TORINO, ATALANTA,0,3, FT
LI1,Asia/Seoul, Sep 21 @ PM 10:00, PARIS, STRASBOURG,2,3, FT
EPL,Asia/Seoul, Sep 21 @ PM 10:00, BOURNEMOUTH, NEWCASTLE,0,0, FT
EPL,Asia/Seoul, Sep 21 @ PM 10:00, SUNDERLAND, ASTON VILLA,1,1, FT
BUN,Asia/Seoul, Sep 21 @ PM 10:30, FRANKFURT, UNION BERLIN,3,4, FT
WSL,Asia/Seoul, Sep 21 @ PM 10:50, MAN UTD, ARSENAL,0,0, FT
CHA,Asia/Seoul, Sep 21 @ PM 11:00, BRISTOL CITY, OXFORD,1,3, FT
LL,Asia/Seoul, Sep 21 @ PM 11:15, MALLORCA, ATLÉTICO,1,1, FT
LI1,Asia/Seoul, Sep 22 @ AM 12:15, AUXERRE, TOULOUSE,1,0, FT
LI1,Asia/Seoul, Sep 22 @ AM 12:15, LE HAVRE, LORIENT,1,1, FT
LI1,Asia/Seoul, Sep 22 @ AM 12:15, MONACO, METZ,5,2, FT
BUN,Asia/Seoul, Sep 22 @ AM 12:30, LEVERKUSEN, M'GLADBACH,1,1, FT
EPL,Asia/Seoul, Sep 22 @ AM 12:30, ARSENAL, MAN CITY,1,1, FT
SEA,Asia/Seoul, Sep 22 @ AM 01:00, FIORENTINA, COMO,1,2, FT
LL,Asia/Seoul, Sep 22 @ AM 01:30, ELCHE, OVIEDO,1,0, FT
BUN,Asia/Seoul, Sep 22 @ AM 02:30, DORTMUND, WOLFSBURG,1,0, FT
SEA,Asia/Seoul, Sep 22 @ AM 03:45, INTER, SASSUOLO,2,1, FT
LL,Asia/Seoul, Sep 22 @ AM 04:00, BARCELONA, GETAFE,3,0, FT
MLS,Asia/Seoul, Sep 22 @ AM 08:00, AUSTIN, SOUNDERS,2,1, FT
MLS,Asia/Seoul,Sep 22 @ AM 10:00,LAFC,SALT LAKE,4,1,FT
LI1,Asia/Seoul,Sep 23 @ AM 03:00,MARSEILLE,PSG,1,0,FT
SEA,Asia/Seoul,Sep 23 @ AM 03:45,NAPOLI,PISA,3,2,FT
CHA,Asia/Seoul,Sep 23 @ AM 04:00,MILLWALL,WATFORD,1,0,FT
