Ligue,Timezone,Kickoff,Home_team,Away_team,Home_score,Away_score
MLS,Asia/Seoul,Sep 14 @ AM 08:30,MONTRÉAL,ST. LOUIS,0,2
MLS,Asia/Seoul,Sep 14 @ AM 08:30,NEW ENGLAND,TORONTO,1,1
MLS,Asia/Seoul,Sep 14 @ AM 09:30,CHICAGO,NYCFC,1,3
MLS,Asia/Seoul,Sep 14 @ AM 09:30,DALLAS,AUSTIN,2,0
MLS,Asia/Seoul,Sep 14 @ AM 09:30,EARTHQUAKES,LAFC,2,4
MLS,Asia/Seoul,Sep 14 @ AM 09:30,SOUNDERS,GALAXY,2,2
MLS,Asia/Seoul,Sep 14 @ AM 10:30,COLORADO,HOUSTON,2,1
MLS,Asia/Seoul,Sep 14 @ AM 10:30,SALT LAKE,SPORTING KC,2,1
MLS,Asia/Seoul,Sep 14 @ AM 10:35,WHITECAPS,PHILADELPHIA,7,0
MLS,Asia/Seoul,Sep 14 @ AM 11:30,PORTLAND,NEW YORK,2,1
MLS,Asia/Seoul,Sep 14 @ AM 11:30,SAN DIEGO,MINNESOTA,1,3
SEA,Asia/Seoul,Sep 14 @ PM 07:30,ROMA,TORINO,0,1
WSL,Asia/Seoul,Sep 14 @ PM 08:00,ASTON VILLA,CHELSEA,1,3
WSL,Asia/Seoul,Sep 14 @ PM 08:00,LEICESTER,LIVERPOOL,1,0
WSL,Asia/Seoul,Sep 14 @ PM 08:00,LONDON CITY,MAN UTD,1,5
CHA,Asia/Seoul,Sep 14 @ PM 08:00,SOUTHAMPTON,PORTSMOUTH,0,0
LL,Asia/Seoul,Sep 14 @ PM 09:00,CELTA,GIRONA,1,1
SEA,Asia/Seoul,Sep 14 @ PM 10:00,ATALANTA,LECCE,4,1
SEA,Asia/Seoul,Sep 14 @ PM 10:00,PISA,UDINESE,0,1
LI1,Asia/Seoul,Sep 14 @ PM 10:00,LILLE,TOULOUSE,2,1
EPL,Asia/Seoul,Sep 14 @ PM 10:00,BURNLEY,LIVERPOOL,0,1
WSL,Asia/Seoul,Sep 14 @ PM 10:30,EVERTON,SPURS,0,2
BUN,Asia/Seoul,Sep 14 @ PM 10:30,ST. PAULI,AUGSBURG,2,1
LL,Asia/Seoul,Sep 14 @ PM 11:15,LEVANTE,BETIS,2,2
LI1,Asia/Seoul,Sep 15 @ AM 12:15,PSG,LENS,2,0
LI1,Asia/Seoul,Sep 15 @ AM 12:15,METZ,ANGERS,1,1
LI1,Asia/Seoul,Sep 15 @ AM 12:15,BREST,PARIS,1,2
LI1,Asia/Seoul,Sep 15 @ AM 12:15,STRASBOURG,LE HAVRE,1,0
BUN,Asia/Seoul,Sep 15 @ AM 12:30,M'GLADBACH,BREMEN,0,4
EPL,Asia/Seoul,Sep 15 @ AM 12:30,MAN CITY,MAN UTD,3,0
SEA,Asia/Seoul,Sep 15 @ AM 01:00,SASSUOLO,LAZIO,1,0
LL,Asia/Seoul,Sep 15 @ AM 01:30,OSASUNA,RAYO,2,0
SEA,Asia/Seoul,Sep 15 @ AM 03:45,MILAN,BOLOGNA,1,0
LI1,Asia/Seoul,Sep 15 @ AM 03:45,RENNES,LYON,3,1
LL,Asia/Seoul,Sep 15 @ AM 04:00,BARCELONA,VALENCIA,6,0
SEA,Asia/Seoul,Sep 16 @ AM 01:30,VERONA,CREMONESE,0,0
SEA,Asia/Seoul,Sep 16 @ AM 03:45,COMO,GENOA,1,1
LL,Asia/Seoul,Sep 16 @ AM 04:00,ESPANYOL,MALLORCA,3,2
