POS,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,LIVERPOOL,49.16,23.07,11.64,6.34,3.65,2.27,1.47,1.01,0.45,0.38,0.19,0.16,0.1,0.04,0.03,0.02,0.01,0,0.01,0
2,CHELSEA,9.67,14.71,16.17,13.31,10.73,8.85,6.34,5.14,3.94,2.86,2.24,1.84,1.41,1.01,0.74,0.51,0.31,0.12,0.09,0.01
3,ARSENAL,24.24,25.89,16.34,10.55,6.9,5.25,3.42,2.45,1.65,1.14,0.75,0.54,0.4,0.24,0.1,0.1,0.04,0,0,0
4,TOTTENHAM HOTSPUR,0.68,1.8,2.85,4.5,5.67,6.63,7.25,7.47,8.21,7.92,7.08,7.41,6.38,6.55,5.58,4.52,3.65,2.72,2.08,1.05
5,EVERTON,0.48,1.78,2.69,4.19,5.45,6.1,6.98,6.97,7.5,7.45,7.78,7.59,7.07,6.6,5.99,4.8,4.02,3.31,2.12,1.13
6,SUNDERLAND,0,0,0.07,0.16,0.28,0.3,0.65,1.05,1.32,1.71,2.25,2.96,4.12,5.12,6.59,9.06,11.78,13.83,17.43,21.32
7,AFC BOURNEMOUTH,0.89,2.47,4.52,6.04,6.74,7.77,7.66,8,7.74,8.06,6.79,6.81,6.11,5.29,4.61,3.26,3,2.11,1.31,0.82
8,CRYSTAL PALACE,3.54,7,9.91,10.83,11.03,9.95,8.45,7.42,6.39,5.72,5.32,3.86,3.02,2.51,1.72,1.39,0.87,0.63,0.27,0.17
9,MANCHESTER UNITED,0.18,0.7,1.69,2.55,3.81,4.54,5.47,6.01,6.68,7.16,7.3,7.25,7.83,7.39,7.53,6.76,5.74,4.77,4.17,2.47
10,NOTTINGHAM FOREST,0.28,0.85,1.84,2.49,3.65,4.27,5.27,6.03,6.25,6.71,7.73,7.47,7.58,7.73,7.5,6.95,6.34,4.7,3.77,2.59
11,BRIGHTON & HOVE ALBION,1.06,2.49,4.62,6.16,7.03,7.48,8.48,7.71,8.27,7.55,6.85,6.37,5.77,5.24,4.52,3.66,2.85,1.97,1.23,0.69
12,LEEDS UNITED,0.05,0.07,0.16,0.32,0.55,0.86,1.34,1.85,2.36,3.19,4.05,4.64,5.58,6.68,7.58,9.4,11.56,12.43,13.21,14.12
13,MANCHESTER CITY,6.93,11.56,13.96,13.42,11.48,9.03,7.67,6.61,5.1,3.45,2.9,2.19,1.95,1.39,0.97,0.67,0.26,0.3,0.11,0.05
14,BURNLEY,0.02,0.01,0.11,0.18,0.44,0.61,0.74,1.15,1.45,1.94,2.53,3.42,4.35,5.56,6.95,9.17,10.85,13.55,16.57,20.4
15,BRENTFORD,0.29,0.94,1.55,2.69,3.49,4.22,5.31,5.87,6.5,7.32,7.22,7.76,7.96,7.67,7.28,6.99,5.89,5.1,3.71,2.24
16,WEST HAM UNITED,0.07,0.13,0.47,0.87,1.23,1.75,2.33,3.32,3.75,4.84,5.55,6.3,7.41,7.68,8.68,9.53,9.7,10.13,8.88,7.38
17,NEWCASTLE UNITED,1.83,4.36,6.78,8.51,9.15,9.44,9.05,8.29,7.31,6.49,5.89,4.82,4.63,3.82,2.96,2.5,1.67,1.3,0.84,0.36
18,FULHAM,0.12,0.35,0.95,1.46,2.36,2.89,3.93,4.45,5.19,5.83,6.9,7.63,7.36,7.98,8.4,7.64,7.66,8.16,6.16,4.58
19,ASTON VILLA,0.51,1.81,3.55,5.16,5.97,7.32,7.18,7.91,8.45,7.81,7.54,7.09,6.47,5.47,5.01,4.24,3.23,2.35,1.85,1.08
20,WOLVERHAMPTON WANDERERS,0,0.01,0.13,0.27,0.39,0.47,1.01,1.29,1.49,2.47,3.14,3.89,4.5,6.03,7.26,8.83,10.57,12.52,16.19,19.54
